market,snapshot_kst,snapshot_epoch,price,value_accel_pct,launch_score,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_value_accel_pct,delta_price_pct_15m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate
KRW-MASK,2026-09-03T16:04:14.534971+09:00,1788419054,594.0,-88.46023187421474,12.0,5003.6653434,0.0,,1,0.0,complete,1788419070108,1788419070108,78764.0688104,34114.16651577,0.3955581176974535,597.0,604.0,1.1725293132328396,-0.5025125628140725,1.6556291390728477,142.85714285714272,,-89.21513057052746,-100.0,0.0,0.0,,,,0.059661525831018025,-0.6688963210702337,,,-100.0,0.059661525831018025,-0.6688963210702337,,,,,,,-41391.56805392,-1623537.7312033803,0.0,0.0,falling,falling,buy_only,flat_or_na,neutral,False,False,False,pass
KRW-MBL,2026-09-03T16:04:14.534971+09:00,1788419054,0.933,1104.6174887161185,11.0,1606928.2914929574,23124759.599619895,0.06948951337506534,39,0.0,complete,1788418207052,1788419099104,45026321.83315895,32068495.51645602,0.16807649025148957,0.982,0.982,0.0,-4.989816700610994,4.989816700610991,,-0.02896505765756506,-15.720298647445574,19.40969853447536,1.8947567711059037,-0.5330490405117128,-1.2577442498023002,-13.167767807472364,1558.475713823789,3.460152359840322,-0.8501594048884065,0.05687714370589974,2428.529057603878,358.9288605548109,3.668350247695571,-0.8501594048884065,,,,,,-0.02896505765756506,-299732.8210932622,3758862.2868958116,1.8947567711059037,-0.5330490405117128,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-ME,2026-09-03T16:04:14.534971+09:00,1788419054,85.8,-32.200503426967664,8.0,1395357.002024565,12025360.240347607,0.1160345282083816,19,0.0,complete,1788418231260,1788419020792,924589.06705177,1189017.71294018,-0.1251077770905982,85.2,86.4,1.4084507042253502,0.7042253521126751,0.6944444444444543,50.0,-0.11496759066614422,140.96915861333795,379.72260569825727,0.1773032181578671,0.0,-2.0632094906446894,-85.55948869686975,171.20718610595085,0.2454305357623241,0.0,-2.671048811861618,-46.42480509517829,1186.8456955508686,0.4101800963691602,-0.34843205574912606,,,,,,-0.11496759066614422,816296.5902879859,9518628.204477802,0.1773032181578671,0.0,rising,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-MED,2026-09-03T16:04:14.534971+09:00,1788419054,2.04,233.74061814322263,13.0,0.0,2158596.275555405,0.0,9,0.0,complete,1788418398744,1788418398744,70760173.25080568,59716319.53547773,0.08464247834602245,2.07,2.07,0.0,-1.449275362318836,1.4492753623188313,,,,,0.2790712046078738,0.0,-0.10024449842371877,-100.0,327.9956925856081,0.3607261465149634,-0.4878048780487698,,,,0.3607261465149634,-0.4878048780487698,,,,,,,0.0,2158596.275555405,0.2790712046078738,0.0,flat_or_na,rising,sell_only,accelerating,neutral,False,False,False,pass
KRW-MEGA,2026-09-03T16:04:14.534971+09:00,1788419054,53.3,-29.965356505574025,6.0,44042380.15262901,37216284.1276174,1.1834169150688023,126,0.0,complete,1788418189681,1788419293658,1639670.73274293,1949521.86586088,-0.08632892345718125,50.7,53.7,5.9171597633136175,5.12820512820511,0.7448789571694705,13.333333333333758,-8.847534038444564,284.8789825834565,3162.33481047406,2.4803417111681547,1.5238095238095273,-15.88191872770818,1278.2575577998246,19775.014060180692,2.7300666270688616,1.717557251908386,-0.4773995504192925,720.7926074171389,1051.9067032010746,2.8128444643149244,2.1072796934865856,,,,,,-8.847534038444564,32599203.947734803,36075497.35097722,2.4803417111681547,1.5238095238095273,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-MET2,2026-09-03T16:04:14.534971+09:00,1788419054,274.0,-68.71849004787582,4.0,25218918.80048423,14732729.84127051,1.711761436759599,53,0.0,complete,1788418834232,1788419251118,425781.86010518,275579.78119958,0.21415781824933489,268.0,275.0,2.6119402985074647,2.238805970149249,0.36363636363636365,14.28571428571453,1.711761436759599,,566.4090411318707,1.3324326414826402,1.1070110701107083,,4236.423584410761,,1.4358131192683032,1.4814814814814836,1.711761436759599,,392.83523514310747,1.4437319485171116,1.4814814814814836,,,,,,1.711761436759599,25218918.80048423,12521966.04127051,1.3324326414826402,1.1070110701107083,rising,rising,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-META,2026-09-03T16:04:14.534971+09:00,1788419054,10.3,-62.47197940521805,9.0,64062.99999995801,0.0,,3,0.0,complete,1788418174351,1788418423892,2931140.96986368,27610442.78861037,-0.8080557319460941,10.2,10.5,2.941176470588247,0.9803921568627638,1.904761904761898,66.66666666666616,,1181.003799245972,-100.0,0.003191371720532743,1.980198019801982,,-93.6763286430583,-100.0,0.15537582953803764,0.9803921568627638,,-86.03420653546048,-100.0,0.41940222894687196,0.0,,,,,,,59061.99999998401,-805067.221590807,0.003191371720532743,1.980198019801982,rising,falling,buy_only,accelerating,neutral,False,False,False,pass
KRW-META2,2026-09-03T16:04:14.534971+09:00,1788419054,7355.0,,,240964.51763954997,1059441.15139185,0.2274449291713662,9,0.0,complete,1788418911068,1788419045078,2602.23286813,10117.41678477,-0.5908326189571255,7600.0,7600.0,0.0,-3.223684210526312,3.223684210526316,,0.06775092253446563,-7.943251009190977,-35.36496444273997,,-0.2711864406779618,0.09392368395671047,-77.35402491844141,-86.70571024376818,,0.1361470388019148,,,,,-0.7422402159244279,,,,,,0.06775092253446563,-20791.97526420004,-579671.6645255999,,-0.2711864406779618,falling,falling,sell_advantage_weakening,flat_or_na,neutral,False,False,False,pass
KRW-MEW,2026-09-03T16:04:14.534971+09:00,1788419054,0.566,-86.68260261411722,12.0,2760788.612752686,473939.8326054275,5.825187972860565,11,0.0,complete,1788419046823,1788419202197,56253336.8293645,43053052.16903041,0.1329248278330556,0.56,0.567,1.2499999999999734,1.0714285714285454,0.17636684303350986,14.28571428571454,5.5669805740687295,176.3225319383562,-87.75172191321751,0.0,0.35460992907800915,,146.2669654155171,,0.053079091403873235,-0.17636684303351524,5.453177623076421,1141.8905701696697,-20.689916350359784,0.06847393269447366,0.1769911504424737,,,,,,5.5669805740687295,1761670.446967863,-3395500.6654583053,0.0,0.35460992907800915,rising,falling,buy_advantage_accelerating,flat_or_na,neutral,False,False,False,pass
KRW-MINA,2026-09-03T16:04:14.534971+09:00,1788419054,100.0,-73.40233392905667,8.0,0.0,5933886.750659999,0.0,6,0.0,complete,1788418506750,1788418630084,247066.27533033,3286571.61262071,-0.8601632180972625,97.6,103.0,5.5327868852458995,2.459016393442637,2.912621359223301,55.555555555555294,-0.016908414073111843,-100.0,44.10114797981293,0.030529453117395633,0.0,-1.6987894344465215,-100.0,-19.702554389313896,0.11411379423687151,-0.990099009900991,-0.22809124963292435,-100.0,-49.339548651311326,0.19555040320138062,0.0,,,,,,-0.016908414073111843,-69626.51973957001,1816024.5171882194,0.030529453117395633,0.0,falling,rising,sell_only,accelerating,neutral,False,False,False,pass
