market,name,date,entry,ma15,ma50,ma120,ma15_above_50,ma50_above_120,value_accel_pct,ret3_pct,dd3_pct,ret7_pct,dd7_pct,ret14_pct,dd14_pct,ret30_pct,dd30_pct
KRW-VIRTUAL,버추얼프로토콜,2026-08-31,960.0,952.3333333333334,872.6,941.1416666666667,True,False,-17.609881740583432,-0.7291666666666696,-3.229166666666672,-0.7291666666666696,-5.52083333333333,-0.7291666666666696,-5.52083333333333,-0.7291666666666696,-5.52083333333333
KRW-ETH,이더리움,2026-08-23,3382000.0,2874666.6666666665,2764200.0,2856466.6666666665,True,False,8.231214116436814,3.015966883500898,0.3548196333530429,3.015966883500898,-0.6209343583678306,3.015966883500898,-2.631578947368418,3.015966883500898,-2.631578947368418
KRW-ID,스페이스아이디,2026-06-29,53.3,50.67333333333333,47.083999999999996,50.37583333333334,True,False,-25.763318218590992,-0.9380863039399667,-5.44090056285178,12.570356472795496,-5.44090056285178,12.570356472795496,-5.44090056285178,12.570356472795496,-26.266416510318948
KRW-PENDLE,펜들,2026-07-09,2276.0,2104.9333333333334,2129.42,2104.4333333333334,False,True,16.194651468540002,0.6151142355008687,-0.9666080843585223,2.152899824253085,-4.569420035149385,4.393673110720564,-4.569420035149385,4.393673110720564,-15.597539543057993
KRW-PENDLE,펜들,2026-08-31,2425.0,2278.9333333333334,2144.14,2243.5916666666667,True,False,16.93222949016635,10.762886597938138,4.0824742268041225,10.762886597938138,4.0824742268041225,10.762886597938138,4.0824742268041225,10.762886597938138,4.0824742268041225
KRW-AWE,에이더블유이,2026-08-15,91.2,82.94666666666667,84.542,82.80666666666666,False,True,22.341848181334377,-5.043859649122817,-9.21052631578948,0.8771929824561431,-9.21052631578948,0.8771929824561431,-9.21052631578948,0.8771929824561431,-9.21052631578948
KRW-THETA,쎄타토큰,2026-09-01,235.0,239.2,207.52,236.18333333333334,True,False,2.651868625847542,3.8297872340425476,-1.7021276595744705,3.8297872340425476,-1.7021276595744705,3.8297872340425476,-1.7021276595744705,3.8297872340425476,-1.7021276595744705
KRW-ARB,아비트럼,2026-09-03,192.0,138.93333333333334,123.22,135.0,True,False,37.96174317865124,0.5208333333333259,-6.25,0.5208333333333259,-6.25,0.5208333333333259,-6.25,0.5208333333333259,-6.25
KRW-POL,폴리곤에코시스템토큰,2026-08-25,170.0,122.86666666666666,115.52,122.49166666666666,True,False,8.511230503079915,-8.823529411764708,-11.764705882352944,-8.823529411764708,-26.470588235294112,-8.823529411764708,-26.470588235294112,-8.823529411764708,-26.470588235294112
KRW-SUPER,슈퍼버스,2026-08-31,148.0,144.53333333333333,128.58,143.86666666666667,True,False,-43.78901991168488,6.756756756756754,-1.3513513513513487,6.756756756756754,-1.3513513513513487,6.756756756756754,-1.3513513513513487,6.756756756756754,-1.3513513513513487
