name,market,label,stage5_sec,stage5_price,t_price,t_to_stage5_pct,attempts,value10,bid10,ask10,net10,bid_ratio,trades10,active_seconds10,bid_active_seconds10,max_second_concentration,value_per_trade,net_per_trade,rise3_pct,high_ticks3,last_ticks3,retrace_ticks3,high_hold_ratio,move_pct_per_value_m,move_pct_per_net_m,ticks_per_value_m,ticks_per_net_m
KRW-FLOCK#7,KRW-FLOCK,fake,1788647191,86.7,85.5,1.403508771929829,4,37895286.23479587,20684354.219709612,17210932.015086256,3473422.2046233565,0.5458292118853825,62.0,10,10,0.23782844819678609,611214.2941096107,56022.938784247686,0.4634994206257348,4.000000000000057,4.000000000000057,0.0,1.0,0.012231057386766603,0.1334417163593836,0.10555402524779488,1.1516020121814705
KRW-FLOCK#8,KRW-FLOCK,fake,1788647641,89.0,88.1,1.0215664018161208,1,17195726.728560228,16838852.9362944,356873.7922658299,16481979.144028569,0.9792463675482177,40.0,6,6,0.5433130460923135,429893.1682140057,412049.47860071424,0.11325028312572094,1.0000000000000853,1.0000000000000853,0.0,1.0,0.006585955040656966,0.006871158016648237,0.058153983008999224,0.060672325287002074
KRW-FLOCK#11,KRW-FLOCK,fake,1788651336,85.4,84.4,1.1848341232227444,1,56985752.283800654,55069040.53384392,1916711.7499567363,53152328.783887185,0.9663650706862459,51.0,5,4,0.03363492931375417,1117367.6918392286,1042202.5251742585,-0.11820330969266601,0.0,-0.9999999999999432,0.9999999999999432,,-0.0020742607573905393,-0.002223859469512061,-0.017548246007523766,-0.018813851112071824
KRW-ELSA#10,KRW-ELSA,fake,1788651613,72.6,71.8,1.1142061281337101,1,26041892.12782883,22039852.93826795,4002039.18956088,18037813.74870707,0.8463230256113292,28.0,1,1,1.0,930067.5759938868,644207.6338823953,0.5540166204986097,3.9999999999999147,3.9999999999999147,0.0,1.0,0.021274054042585398,0.030714177905197683,0.15359867018746476,0.22175636447552466
KRW-SOPH#2,KRW-SOPH,success,1788652809,6.45,6.05,6.6115702479338845,5,18381240.48285811,18372382.737230152,8857.7456279565,18363524.991602194,0.9995181094749171,33.0,7,7,0.5595331037190795,557007.2873593366,556470.4542909756,0.4746835443037778,2.999999999999936,2.999999999999936,0.0,1.0,0.025824347641088527,0.025849260668681796,0.16320987709168278,0.16336732742607224
KRW-FLOCK#12,KRW-FLOCK,fake,1788652841,88.7,87.7,1.1402508551881407,1,45430063.48377206,41470489.25175609,3959574.232015975,37510915.01974011,0.9128424235323739,36.0,7,5,0.9936836846687451,1261946.2078825573,1041969.8616594475,0.3397508493771184,2.9999999999999716,2.9999999999999716,0.0,1.0,0.0074785466566314575,0.009057386342037368,0.06603556697805613,0.07997672140019038
KRW-ELSA#11,KRW-ELSA,fake,1788652850,73.7,72.6,1.515151515151536,1,25974799.343182392,25906877.06318239,67922.28,25838954.78318239,0.9973850700787866,54.0,7,7,0.46314121010358006,481014.80265152577,478499.16265152575,0.8207934336525335,6.000000000000085,6.000000000000085,0.0,1.0,0.03159960632642836,0.03176573667704072,0.2309931222461938,0.23220753510917017
KRW-QUID#2,KRW-QUID,fake,1788652915,90.7,89.2,1.681614349775784,1,2924054.2629681323,1898266.867125785,1025787.3958423471,872479.4712834379,0.6491900274104021,18.0,2,2,0.6882523713103416,162447.45905378513,48471.08173796877,0.5543237250554389,5.0,5.0,0.0,1.0,0.1895736792834888,0.6353430003803019,1.709954587137049,5.7307938634302555
KRW-LA#8,KRW-LA,fake,1788652969,95.2,93.0,2.3655913978494647,2,30915241.739084236,15927458.431499423,14987783.307584813,939675.1239146106,0.5151976027204509,42.0,8,5,0.3444073359470016,736077.1842639104,22373.217236062155,0.5279831045406524,5.0,5.0,0.0,1.0,0.017078407763933344,0.5618783461470359,0.16173252152444947,5.320987938012453
KRW-T#1,KRW-T,success,1788653048,6.01,5.82,3.264604810996552,1,37766837.77508298,26091248.65230588,11675589.122777103,14415659.529528776,0.6908507619221385,69.0,8,8,0.2792826877983216,547345.4750012027,208922.60187722865,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
KRW-EDGE#6,KRW-EDGE,fake,1788653204,98.0,96.6,1.449275362318847,3,2161418.261132202,2051409.261145542,110008.99998666,1941400.261158882,0.9491033262904724,16.0,6,5,0.9305803033655434,135088.64132076263,121337.51632243012,0.10214504596526286,0.9999999999999432,0.9999999999999432,0.0,1.0,0.04725834319163977,0.05261410952128404,0.46265917984616245,0.515092132213381
KRW-SNT#3,KRW-SNT,fake,1788653267,9.68,9.54,1.4675052410901612,1,6230467.24248404,6230467.24248404,0.0,6230467.24248404,1.0,22.0,4,4,0.3840083889126713,283203.05647654727,283203.05647654727,0.5192107995846129,4.999999999999893,4.999999999999893,0.0,1.0,0.08333416730678572,0.08333416730678572,0.802508031164358,0.802508031164358
KRW-UP2#1,KRW-UP2,fake,1788653276,75.1,71.2,5.477528089887618,2,4754092.93659864,4754092.93659864,0.0,4754092.93659864,1.0,30.0,6,5,0.6061954486994545,158469.764553288,158469.764553288,0.5354752342703994,3.9999999999999147,3.9999999999999147,0.0,1.0,0.11263457433659474,0.11263457433659474,0.8413802702943692,0.8413802702943692
KRW-T#2,KRW-T,fake,1788653972,6.4,6.29,1.7488076311605871,1,50856662.70121856,37166734.792247236,13689927.908971325,23476806.88327591,0.7308134827997019,96.0,8,8,0.43858880679092443,529756.9031376933,244550.07170079075,0.6289308176100628,4.0000000000000036,4.0000000000000036,0.0,1.0,0.0123667339578496,0.026789453128657454,0.07865242797192354,0.1703809218982616
KRW-QUID#3,KRW-QUID,fake,1788655104,96.3,94.6,1.7970401691332016,1,17687777.703117095,11782294.46695567,5905483.236161424,5876811.230794245,0.6661263311150326,49.0,8,8,0.4169698829906244,360975.055165655,119934.92307743357,0.31250000000000444,2.9999999999999716,2.9999999999999716,0.0,1.0,0.017667567132807923,0.053175095766649354,0.16960864447495205,0.5104809193598218
KRW-ARB#10,KRW-ARB,fake,1788655627,262.0,252.0,3.9682539682539764,1,101056593.65156724,99204242.72410293,1852350.92746431,97351891.79663862,0.9816701626234204,121.0,8,8,0.6274364298791958,835178.4599303077,804561.0892284184,0.7692307692307665,2.0,2.0,0.0,1.0,0.0076118810404692165,0.007901549266629932,0.019790890705220034,0.0205440280932379
KRW-LA#10,KRW-LA,fake,1788655867,97.6,96.0,1.6666666666666607,3,30821996.4813519,27700182.65231563,3121813.8290362703,24578368.823279362,0.8987147431891686,27.0,7,5,0.3155005628182826,1141555.4252352556,910309.9564177542,0.30832476875641834,2.9999999999999716,2.9999999999999716,0.0,1.0,0.010003400297023677,0.012544557817213201,0.09733308489004107,0.1220585475614853
KRW-BONK#17,KRW-BONK,fake,1788656805,0.00662,0.00646,2.4767801857585203,1,36541338.06507439,35938135.525394596,603202.539679797,35334932.9857148,0.9834925984755789,40.0,7,6,2.590048917323567,913533.4516268598,883373.32464287,0.917431192660545,6.000000000000015,6.000000000000015,0.0,1.0,0.02510666662032857,0.02596385828809818,0.16419759969695025,0.16980363320416353
