activate,drop,no_high_sec,avg_net,median_net,avg_capture,median_capture,wins,worst
5,1.5,45,5.308289318574722,4.438087520259327,-41.39284424560853,66.08846153846171,13,-17.898165137614686
3,0.5,120,4.9136039641614655,3.0930333817126177,-41.84255732797073,70.3432432432434,14,-17.898165137614686
3,0.75,120,4.9136039641614655,3.0930333817126177,-41.84255732797073,70.3432432432434,14,-17.898165137614686
7,1.5,90,5.7673187084261635,5.301234567901226,-41.859428596598185,61.16249999999986,13,-17.898165137614686
5,1.5,30,4.942328492476512,4.328044280442811,-41.865628561589844,63.205263157894635,13,-17.898165137614686
7,1.5,60,5.65446669686566,5.420504731861209,-42.381838132523306,66.08846153846171,13,-17.898165137614686
7,2,15,5.222226375133106,4.947318611987373,-42.729369898214244,66.08775510204073,13,-17.898165137614686
7,2,90,5.695716253241265,4.979825834542806,-42.79683432812157,61.16249999999986,13,-17.898165137614686
5,1.5,15,4.8147601680273615,4.0996830427892155,-42.91022587616338,63.205263157894635,13,-17.898165137614686
5,0.5,120,5.656152311713221,5.758170606372038,-43.24683635070558,72.05714285714298,13,-17.898165137614686
5,0.75,120,5.656152311713221,5.758170606372038,-43.24683635070558,72.05714285714298,13,-17.898165137614686
7,2,45,5.399164400103775,4.992592592592582,-43.312782148712415,61.80830039525692,13,-17.898165137614686
3,1,120,4.854135498569184,2.572147995888996,-43.362237965298384,61.98000000000026,14,-17.898165137614686
3,1,60,4.554082927944296,2.572147995888996,-43.474744976116,57.22941176470576,14,-17.898165137614686
5,1,120,5.639077266891228,5.758170606372038,-43.58297080448711,72.05714285714298,13,-17.898165137614686
7,2,30,5.346374578816303,4.992592592592582,-43.61606478899962,61.80830039525692,13,-17.898165137614686
5,1,60,5.288835914817081,3.8187227866472884,-43.77544893106995,57.22941176470576,13,-17.898165137614686
3,0.5,90,4.600806280836721,2.817341977309551,-44.025769858026756,56.980000000000395,14,-17.898165137614686
3,0.75,90,4.600806280836721,2.817341977309551,-44.025769858026756,56.980000000000395,14,-17.898165137614686
3,1,90,4.594760697135615,2.817341977309551,-44.18475236995045,56.980000000000395,14,-17.898165137614686
7,2,60,5.498239432597949,4.979825834542806,-44.27883329422436,61.16249999999986,13,-17.898165137614686
10,0.5,45,6.780965509451372,8.178145695364249,-44.433646723414434,61.80830039525692,12,-17.898165137614686
2,0.5,15,3.3568891156821103,1.769158878504673,-44.442117410217655,56.642105263158015,14,-17.898165137614686
2,0.75,15,3.3568891156821103,1.769158878504673,-44.442117410217655,56.642105263158015,14,-17.898165137614686
7,0.5,180,4.715660145442513,5.415239477503631,-44.49633664446724,63.23333333333328,12,-17.898165137614686
7,0.75,180,4.715660145442513,5.415239477503631,-44.49633664446724,63.23333333333328,12,-17.898165137614686
5,0.5,90,5.3514123623766325,4.600162074554304,-44.67031103826263,57.92448979591847,13,-17.898165137614686
10,0.75,45,6.737437784266285,8.178145695364249,-44.715905369140195,61.80830039525692,12,-17.898165137614686
3,0.5,15,3.8520483554533,2.7938906752411508,-44.72022542263059,56.642105263158015,14,-17.898165137614686
3,0.75,15,3.8520483554533,2.7938906752411508,-44.72022542263059,56.642105263158015,14,-17.898165137614686
5,1.5,120,5.546483573280554,5.455555555555536,-44.75459329963902,66.60285714285696,13,-17.898165137614686
3,0.5,45,3.892795785028294,2.6749229188078094,-44.83563967072214,61.015217391303985,14,-17.898165137614686
5,0.75,90,5.342874839965635,4.600162074554304,-44.83837826515341,57.92448979591847,13,-17.898165137614686
10,1,45,6.70934766852839,8.178145695364249,-44.96357041756427,61.80830039525692,12,-17.898165137614686
5,1,90,5.3257997951436415,4.600162074554304,-45.17451271893494,57.92448979591847,13,-17.898165137614686
5,2,15,4.7603173921876065,4.0996830427892155,-45.191359060190514,57.20769230769232,13,-17.898165137614686
7,1,180,4.655204308431449,5.415239477503631,-45.26027858487978,63.23333333333328,12,-17.898165137614686
7,1.5,180,4.655204308431449,5.415239477503631,-45.26027858487978,63.23333333333328,12,-17.898165137614686
10,0.5,30,6.413801462339799,7.679578606158833,-45.45457286094679,61.80830039525692,12,-17.898165137614686
5,1.5,60,5.152486799196775,3.590036900368998,-45.66539721807704,57.22941176470576,13,-17.898165137614686
7,3,120,6.790798830649779,4.113938411669372,-45.68983098937377,54.15797101449282,13,-17.898165137614686
10,0.5,15,6.407577540543588,8.327876823338743,-45.70328601919984,70.89920948616601,12,-17.898165137614686
10,0.75,15,6.407577540543588,8.327876823338743,-45.70328601919984,70.89920948616601,12,-17.898165137614686
3,1,15,3.8541468177819764,2.8027576197387494,-45.71380481678545,56.642105263158015,14,-17.898165137614686
5,2,45,4.976915349826987,4.10560747663552,-45.74969275634675,59.77532467532446,13,-17.898165137614686
3,0.75,45,3.857444222859583,2.6749229188078094,-45.76000941862128,61.015217391303985,14,-17.898165137614686
