case_label,market,cycle_id,stage6_kst,stage6_price,observed_sec,post_stage6_high,max_return_pct,post_stage6_low,max_drawdown_pct,sec_to_10pct,outcome,t_value_x,t_age_sec,stage5_attempts,stage4_rise_pct,stage4_t_ticks,stage4_trades10,stage5_bid_share,stage6_rise_pct,stage5_to_6_sec
V55_QUID_C2_090158,KRW-QUID,2,2026-09-06T09:01:58+09:00,91.0,3596,98.6,8.351648351648343,90.9,-0.1098901098900984,,FAKE,12.938660990850558,10358,1,0.5543237250554389,15.0,18,0.6491900274104021,0.330760749724357,3
V55_LA_C8_090254,KRW-LA,8,2026-09-06T09:02:54+09:00,95.5,3597,98.8,3.4554973821989465,93.8,-1.7801047120418856,,FAKE,4.855732346088136,72,2,0.5279831045406524,22.00000000000003,42,0.5151976027204509,0.31512605042016695,5
V55_T_C1_090409,KRW-T,1,2026-09-06T09:04:09+09:00,6.04,3600,6.79,12.41721854304636,6.02,-0.33112582781458233,948.0,SUCCESS,31.310098264893355,11119,1,0.5016722408026641,18.99999999999995,77,0.7069068371774033,0.4991680532445919,1
V55_EDGE_C6_090647,KRW-EDGE,6,2026-09-06T09:06:47+09:00,98.3,3343,99.1,0.8138351983723258,96.1,-2.238046795523907,,FAKE,603.0793480641947,1823,3,0.4098360655737654,14.000000000000057,16,0.9491033262904726,0.3061224489795844,3
V55_SNT_C3_090750,KRW-SNT,3,2026-09-06T09:07:50+09:00,9.709999999999999,3322,9.8,0.9268795056642798,9.57,-1.441812564366618,,FAKE,209.45807075668628,7236,1,0.4149377593360981,14.000000000000057,22,1.0,0.30991735537189147,3
V55_UP2_C1_090801,KRW-UP2,1,2026-09-06T09:08:01+09:00,75.39999999999999,3578,76.4,1.326259946949615,73.7,-2.2546419098143033,,FAKE,2879.9999998400003,11852,2,0.5354752342703994,38.999999999999915,40,0.9984424174114114,0.3994673768308976,5
V55_T_C2_091934,KRW-T,2,2026-09-06T09:19:34+09:00,6.430000000000001,3596,6.79,5.598755832037305,6.36,-1.0886469673406007,,FAKE,2.8519940931619443,54,1,0.6289308176100628,11.000000000000032,121,0.6535625571466143,0.46874999999999556,2
V55_QUID_C3_093830,KRW-QUID,3,2026-09-06T09:38:30+09:00,96.6,3592,98.4,1.8633540372670954,93.6,-3.105590062111796,,FAKE,3.093961148569226,302,1,0.4171011470281538,17.00000000000003,71,0.7046972797813682,0.31152647975076775,6
V55_ARB_C10_094801,KRW-ARB,10,2026-09-06T09:48:01+09:00,265.0,3598,270.0,1.8867924528301883,257.0,-3.018867924528301,,FAKE,12.738473234226463,1844,1,1.158301158301156,10.0,206,0.988073028311979,1.1450381679389388,54
V55_LA_C10_095119,KRW-LA,10,2026-09-06T09:51:19+09:00,97.89999999999999,3525,99.8,1.9407558733401498,95.6,-2.3493360572012234,,FAKE,3.327617722292142,670,3,0.411522633744843,15.999999999999943,27,0.8987147431891686,0.30737704918033515,12
V55_BONK_C17_100647,KRW-BONK,17,2026-09-06T10:06:47+09:00,0.00665,2597,0.0068,2.2556390977443552,0.00636,-4.360902255639088,,FAKE,2.84241671462684,116,1,1.2232415902140747,16.00000000000004,137,0.9943832693814686,0.45317220543805714,2
V55_FLOCK_C20_103842,KRW-FLOCK,20,2026-09-06T10:38:42+09:00,90.1,681,90.4,0.33296337402886067,88.3,-1.9977802441731418,,IN_PROGRESS,3.7409530615045163,6,2,0.7856341189674598,12.999999999999972,162,0.9079043496413366,0.33407572383072903,1
