retain_pct,activate_pct,fallback_min,avg_net_pct,median_net_pct,wins,losses,worst_net_pct,trail_exits,time_exits
50,5,20,2.1874668264379014,2.831854199683048,12,5,-8.72385321100917,10,7
80,5,10,2.1793787473981765,2.7938906752411508,12,5,-4.136697247706422,8,9
80,4,20,2.176378054927019,3.4802469135802316,13,4,-8.72385321100917,12,5
50,5,10,2.1697288346829393,2.7938906752411508,12,5,-4.136697247706422,8,9
50,3,60,2.108303556558125,2.1979397781299537,14,3,-5.054128440366978,14,3
50,4,15,2.073629148180052,2.1979397781299537,13,4,-6.522018348623847,12,5
50,4,10,2.0637893865435086,2.210924369747891,12,5,-4.136697247706422,10,7
70,5,10,2.062637984226774,2.7938906752411508,12,5,-4.136697247706422,8,9
75,5,10,2.0455655781294464,2.7938906752411508,12,5,-4.136697247706422,8,9
50,4,20,2.0439626329234297,2.210924369747891,13,4,-8.72385321100917,12,5
75,4,15,2.038205643693866,3.2564814814814658,13,4,-6.522018348623847,12,5
80,4,10,2.034381066516978,3.2711507293354924,12,5,-4.136697247706422,10,7
50,3,15,2.0263885957080183,2.187066246056768,13,4,-6.522018348623847,13,4
70,4,15,2.0212522925701424,3.0327160493827,13,4,-6.522018348623847,12,5
75,4,20,2.0085391284372434,3.2564814814814658,13,4,-8.72385321100917,12,5
70,3,30,1.9982646039783196,2.7000000000000024,15,2,-6.522018348623847,14,3
70,4,20,1.9915857773135197,3.0327160493827,13,4,-8.72385321100917,12,5
60,4,5,1.9868043160679498,2.4283630470016138,11,6,-2.1183486238532057,8,9
80,3,30,1.9713131486177202,2.6444253859348232,15,2,-6.522018348623847,14,3
75,3,30,1.958385049165629,2.730188679245271,15,2,-6.522018348623847,14,3
50,3,10,1.9379562459570916,1.801336073997939,12,5,-4.136697247706422,11,6
50,3,20,1.918129492337013,2.187066246056768,13,4,-8.72385321100917,13,4
70,4,10,1.903530036246851,2.849756888168542,12,5,-4.136697247706422,10,7
75,4,10,1.8935127636988875,3.0604538087520283,12,5,-4.136697247706422,10,7
50,5,5,1.8834795434865665,2.8159519725557414,11,6,-2.1183486238532057,7,10
60,3,5,1.8702003152955122,1.8867549668874273,11,6,-2.1183486238532057,9,8
70,3,60,1.8560261904088693,2.7000000000000024,14,3,-5.054128440366978,14,3
80,5,5,1.8436517211825634,3.04569536423841,11,6,-2.1183486238532057,7,10
80,3,60,1.82907473504827,2.6444253859348232,14,3,-5.054128440366978,14,3
75,3,60,1.8161466355961786,2.730188679245271,14,3,-5.054128440366978,14,3
70,3,15,1.7775262385231614,2.561870503597119,13,4,-6.522018348623847,13,4
80,3,15,1.7403297562693654,2.5880000000000014,13,4,-6.522018348623847,13,4
75,3,15,1.7385004359515701,2.4739644970414365,13,4,-6.522018348623847,13,4
75,5,5,1.7249567487252673,3.04569536423841,11,6,-2.1183486238532057,7,10
50,4,5,1.7021907545716661,2.0069692058346855,11,6,-2.1183486238532057,8,9
70,5,5,1.699423327444915,3.04569536423841,11,6,-2.1183486238532057,7,10
70,3,20,1.669267135152156,2.561870503597119,13,4,-8.72385321100917,13,4
75,3,10,1.6477595743203342,2.4739644970414365,12,5,-4.136697247706422,11,6
70,3,10,1.6464672904218356,2.5508875739645,12,5,-4.136697247706422,11,6
80,3,20,1.6320706528983602,2.5880000000000014,13,4,-8.72385321100917,13,4
80,3,10,1.6314545780649843,2.5880000000000014,12,5,-4.136697247706422,11,6
75,3,20,1.6302413325805647,2.4739644970414365,13,4,-8.72385321100917,13,4
50,3,5,1.5741806032981789,1.5556291390728672,11,6,-2.1183486238532057,9,8
80,4,5,1.5444188405465427,3.04569536423841,11,6,-2.1183486238532057,8,9
75,4,5,1.4318163777031114,2.9000000000000026,11,6,-2.1183486238532057,8,9
70,4,5,1.4123754660366201,2.7000000000000024,11,6,-2.1183486238532057,8,9
75,3,5,1.1937027442183814,2.2592715231788074,11,6,-2.1183486238532057,9,8
70,3,5,1.1609889627892498,2.2178807947019874,11,6,-2.1183486238532057,9,8
80,3,5,1.151095221304551,2.416556291390737,11,6,-2.1183486238532057,9,8
