market,fetched_kst,trade_timestamp_kst,price,day_return_pct,trade_value_15m,trade_value_30m,trade_value_45m,trade_value_60m,trade_value_90m,trade_value_120m,median_15m,anomaly_15m,change_15m_pct,change_accel_pctp,dir_15_vs_30,dir_15_vs_45,dir_15_vs_60,dir_15_vs_90,dir_15_vs_120,bid_10s,ask_10s,net_10s,ratio_10s,trades_10s,prev_bid_10s,prev_ask_10s,prev_trades_10s,bid_15m_ticks,ask_15m_ticks,trades_15m_ticks,tick_coverage_sec,slope15_1m_pct,higher_low_15m,preexpansion_score
KRW-META,2026-09-06T18:05:41+09:00,2026-09-06T18:03:36.337+09:00,10.3,-1.9047618999999998,6515971.992774989,14405215.21268721,25344613.09589049,29027997.93121533,42119636.424524054,51945471.94149944,7158944.527217515,0.9101861270194209,-17.406881609013315,10.475408585169777,↓,↓,↓,→,→,0.0,2344163.918040967,-2344163.918040967,0.0,7,0.0,0.0,0,0.0,2344163.918040967,7,32299.284,-0.08607234667645948,False,-2.289287088575241
KRW-META2,2026-09-06T17:56:23+09:00,2026-09-06T17:56:22.306+09:00,7545.0,-4.5540797,55494272.16977145,107587778.24408245,120539898.45150936,130506826.5070713,180737889.639964,217021608.22409546,14596065.705694925,3.802002079787797,6.528195838094053,-295.6724110126667,→,↑,↑,↑,↑,45779.2104186,0.0,45779.2104186,999.0,9,20342.9714456,0.0,4,10683944.34180525,42929335.1724406,96,13199.668,-0.03788544320477905,False,5.845407183718928
KRW-MEW,2026-09-06T18:04:56+09:00,2026-09-06T17:59:51.426+09:00,0.582,-0.8517887599999999,19617054.26143582,32776378.64055799,41747854.184407264,47751010.417991474,104584751.76888992,145666690.62549502,14937807.506126031,1.3132485643151326,49.073415140971186,2.3938158397833718,↑,↑,↑,↑,→,136828.89061688285,0.0,136828.89061688285,999.0,1,0.0,0.0,0,918828.8906168776,95863.90947925259,7,25871.663,-0.0073705244537622516,False,0.719285116066593
KRW-MINA,2026-09-06T18:05:50+09:00,2026-09-06T17:54:10.632+09:00,103.0,0.0,17725167.29731626,52437649.83246884,55193817.31325978,67436419.62525903,105142157.1695232,142584773.9324472,12320779.46116488,1.4386400919833051,-48.93719491434712,-1208.384698633936,↓,→,→,→,→,199900.04997466,0.0,199900.04997466,999.0,1,0.0,0.0,0,199900.04997466,0.0,1,32025.8,0.04193458205199888,False,5.582504101181636
KRW-MIRA,2026-09-06T18:06:41+09:00,2026-09-06T18:06:25.730+09:00,63.5,-0.93603744,14856694.096301101,43645267.58155676,95861298.91756535,137793831.82061264,217791975.37968382,268347352.67365742,36152102.59059044,0.4109496552537433,-48.393781637321844,-3.527373273197142,↓,↓,↓,↓,↓,12740.0,0.0,12740.0,999.0,1,0.0,0.0,0,6586047.515043022,4865682.938250235,27,15668.456,0.019104558122808868,True,0.4520446207791178
KRW-MLK,2026-09-06T18:05:41+09:00,2026-09-06T17:59:07.590+09:00,50.0,-0.39840637,13455592.20516553,31994499.99376743,45541999.15859252,60321434.374219954,71251698.68568057,94097933.02616403,10488380.98047255,1.2829045998822302,-27.419714480492196,-64.26347850696706,↓,↓,↓,↑,↑,0.0,15458.26179,-15458.26179,0.0,1,0.0,0.0,0,0.0,781966.6108965001,4,32240.798,0.01783811553390694,False,-4.588804940129547
KRW-MMT,2026-09-06T18:05:49+09:00,2026-09-06T17:58:28.262+09:00,224.0,-1.3215859,2807756.93502233,27231400.44645834,77673268.63022713,84868197.56720075,183530518.82310215,256247566.50262582,42636682.14994183,0.06585308221564234,-88.50393908792667,-36.92332637639164,↓,↓,↓,↓,↓,0.0,250094.2749975,-250094.2749975,0.0,2,0.0,0.0,0,100304.66633174999,1672399.1546903301,29,20199.17,0.006352971072805047,False,-5.927561609562794
KRW-MNT,2026-09-06T18:06:06+09:00,2026-09-06T18:03:28.163+09:00,823.0,2.6184538699999997,5490504.68293517,11796367.63477458,30921358.24696825,44911016.81884535,63679838.025210425,86384182.32217678,9384410.60318254,0.585066544410703,-12.930161583457844,54.09798980387444,→,↓,↓,↓,↓,0.0,60293.560091549996,-60293.560091549996,0.0,1,0.0,0.0,0,594843.58472315,2612354.5623097704,13,32545.318,0.01953577216948368,True,1.725532994929262
KRW-MOC,2026-09-06T18:06:06+09:00,2026-09-06T18:04:29.840+09:00,24.5,-0.8097165999999999,6002791.57486885,34038604.05259097,41794428.92324185,54748298.11978507,87039094.45162407,110921721.58865015,16145398.165919501,0.3717958215202049,-78.5888438951473,-340.06957541364164,↓,↓,↓,↓,↓,5199.999999972,0.0,5199.999999972,999.0,1,0.0,0.0,0,322488.449271052,385128.34233307,6,32463.247,0.02910699732215661,False,-0.5910245963277747
KRW-MOCA,2026-09-06T17:59:02+09:00,2026-09-06T17:57:04.805+09:00,12.2,0.0,29441842.74071746,42358574.18448635,68412515.31607386,79370881.09603629,110833737.88132824,173423665.46543083,15731428.392645974,1.8715301627969614,127.93570392702081,178.35882272301447,↑,↑,↑,↑,↑,199999.999999868,0.0,199999.999999868,999.0,2,0.0,0.0,0,205069.999999846,1041131.608109087,9,31819.025,-0.05277973258268842,False,11.824252231712467
